time,url,dcl,load,fcp,lcp,cls,fid
1616278588117,http://localhost:3000/,3125.319999991916,6017.9799999750685,3145.8699999784585,3223.634,0.11391130073991401,0
1616278594527,http://localhost:3000/,3122.540000011213,5112.185000005411,3143.8400000042748,3217.35,0.11391130073991401,3.850000008242205
1690004824767,http://localhost:3000/,4604.9000000059605,6287.20000000298,4622.4000000059605,4622.4000000059605,0,0
1690004969677,http://localhost:3000/,4552.70000000298,6645,5564.5,5564.5,1.0499851158696416,0.3999999910593033
1690005040725,http://localhost:3000/,4557.800000011921,7103.9000000059605,4610.600000008941,4610.600000008941,0.10452186805040771,0
1690005128794,http://localhost:3000/,4582.20000000298,7304.79999999702,4600.70000000298,4600.70000000298,0.10452186805040771,0
1690005430228,http://localhost:3000/,4656.70000000298,8624.40000000596,4677.70000000298,0,0.10452186805040771,1
1690005460647,http://localhost:3000/,4610.79999999702,6985.5,4662.29999999702,19692.69999998808,0.10452186805040771,0.5
1690012263735,http://localhost:3000/,5591.399999991059,6954,5600.899999991059,5600.899999991059,0.10452186805040771,0.4000000059604645
1690012315503,http://localhost:3000/,1943.7999999970198,6885.5999999940395,1962.9000000059605,1962.9000000059605,0.10452186805040771,0
1690012346727,http://localhost:3000/,1910.4000000059605,4870.600000008941,1959.800000011921,16156.90000000596,0.10699604432992534,0
1690013081327,http://localhost:3000/,1908.800000011921,5851.4000000059605,9832.40000000596,9832.40000000596,0,0
1690014534063,http://localhost:3000/,1888.7000000029802,4190.79999999702,1897.5,1897.5,0.10452186805040771,0
1690014543627,http://localhost:3000/,1776.2000000029802,4141.20000000298,1798.4000000059605,0,0.10452186805040771,1057.2000000029802
1690014634523,http://localhost:3000/,2699.3999999910593,6379.199999988079,24895.89999999106,24895.89999999106,0,0.29999999701976776
1690014780375,http://localhost:3000/,2350.8999999910593,4787.399999991059,15948.89999999106,15948.89999999106,0,0.5999999940395355
1690014970858,http://localhost:3000/,1876.7000000029802,4610.70000000298,2269.2999999970198,0,0.10452186805040771,1337.2999999970198
1690014993929,http://localhost:3000/,1758.1000000089407,3477.4000000059605,1770.9000000059605,1770.9000000059605,0.10699604432992534,0.29999999701976776
1690014996347,http://localhost:3000/,1861.2000000029802,1967.6000000089407,0,0,0,0
1690015026104,http://localhost:3000/,1792,0,1816.9000000059605,1816.9000000059605,0,0
1690015105882,http://localhost:3000/,1734.9000000059605,1755.5,1780.7000000029802,1780.7000000029802,0,0
1690015118806,http://localhost:3000/,2216.5999999940395,5402.399999991059,29873.69999998808,29873.69999998808,0,1
1690015129380,http://localhost:3000/,2050.6000000089407,4128.20000000298,1989.2000000029802,1989.2000000029802,0,0.699999988079071
1690015161371,http://localhost:3000/,1831.2000000029802,1834.4000000059605,0,0,0,0
1690309472297,http://localhost:3000/,2594.199999988079,9233.09999999404,1445841,1445841,0,1.0999999940395355
